nome_comum,grupo_quimico,classe,url_agrofit
Trichoderma asperellum BVF24,Biológico,['Fungicida microbiológico'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_ing_ativo_detalhe_cons?p_id_ingrediente_ativo=1008
Trichoderma asperellum isolado URM 8120,Produto Microbiológico,['Fungicida microbiológico'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_ing_ativo_detalhe_cons?p_id_ingrediente_ativo=813
"Trichoderma asperellum, isolado CBMAI 1622*",Produto Microbiológico,['Fungicida microbiológico'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_ing_ativo_detalhe_cons?p_id_ingrediente_ativo=785
"Trichoderma asperellum, isolado SVG-00124-F",Biológico,['Fungicida microbiológico'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_ing_ativo_detalhe_cons?p_id_ingrediente_ativo=919
"Trichoderma asperellum, isolado URM-5911",Produto Microbiológico,['Fungicida microbiológico'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_ing_ativo_detalhe_cons?p_id_ingrediente_ativo=787
"Trichoderma atroviride, estirpe 77B",Produto Microbiológico,['Fungicida microbiológico'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_ing_ativo_detalhe_cons?p_id_ingrediente_ativo=894
Trichoderma endophyticum isolado IBCB 56/12,Produto Microbiológico,['Nematicida Microbiológico'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_ing_ativo_detalhe_cons?p_id_ingrediente_ativo=830
"Trichoderma hamatum, Cepa SYM37537",Biológico,['Fungicida microbiológico'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_ing_ativo_detalhe_cons?p_id_ingrediente_ativo=953
Trichoderma harzianum,Produto Microbiológico,['Fungicida microbiológico'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_ing_ativo_detalhe_cons?p_id_ingrediente_ativo=466
Trichoderma Harzianum CCT8009,Biológico,['Fungicida microbiológico'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_ing_ativo_detalhe_cons?p_id_ingrediente_ativo=1034
Trichoderma harzianum Cepa CCT 2160,Biológico,['Nematicida Microbiológico'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_ing_ativo_detalhe_cons?p_id_ingrediente_ativo=934
"Trichoderma harzianum, Cepa 1306",Produto Microbiológico,"['Fungicida microbiológico', 'Nematicida Microbiológico']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_ing_ativo_detalhe_cons?p_id_ingrediente_ativo=855
"Trichoderma harzianum, cepa BRM 29600",Biológico,['Fungicida microbiológico'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_ing_ativo_detalhe_cons?p_id_ingrediente_ativo=911
"Trichoderma harzianum, cepa CBMAI 2357",Biológico,['Fungicida microbiológico'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_ing_ativo_detalhe_cons?p_id_ingrediente_ativo=1037
"Trichoderma harzianum, cepa CCT 7589",Biológico,['Fungicida microbiológico'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_ing_ativo_detalhe_cons?p_id_ingrediente_ativo=954
"Trichoderma harzianum, isolado IB 19/17",Produto Microbiológico,['Fungicida microbiológico'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_ing_ativo_detalhe_cons?p_id_ingrediente_ativo=866
"Trichoderma harzianum, isolado IBLF006*",Produto Microbiológico,['Fungicida microbiológico'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_ing_ativo_detalhe_cons?p_id_ingrediente_ativo=780
"Trichoderma harzianum, isolado IBLF1278",Produto Microbiológico,['Fungicida microbiológico'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_ing_ativo_detalhe_cons?p_id_ingrediente_ativo=832
"Trichoderma harzianum, isolado IBLF1282",Produto Microbiológico,['Fungicida microbiológico'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_ing_ativo_detalhe_cons?p_id_ingrediente_ativo=833
"Trichoderma harzianum, isolado SVG-00003-F",Biológico,['Fungicida microbiológico'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_ing_ativo_detalhe_cons?p_id_ingrediente_ativo=918
"Trichoderma harzianum, isolado URM 8119",Produto Microbiológico,['Fungicida microbiológico'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_ing_ativo_detalhe_cons?p_id_ingrediente_ativo=812
Trichoderma koningiopsis Cepa CCT 2142,Produto Microbiológico,['Fungicida microbiológico'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_ing_ativo_detalhe_cons?p_id_ingrediente_ativo=868
"Trichoderma reesei, Cepa CCT 2768",Produto Microbiológico,['Fungicida microbiológico'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_ing_ativo_detalhe_cons?p_id_ingrediente_ativo=823
"Trichoderma stromaticum, isolado CEPLAC",Produto Microbiológico,['Fungicida microbiológico'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_ing_ativo_detalhe_cons?p_id_ingrediente_ativo=625
"Trichoderma viride, isolado IBLF1275",Produto Microbiológico,['Fungicida microbiológico'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_ing_ativo_detalhe_cons?p_id_ingrediente_ativo=834
"Trichoderma viride, isolado IBLF1276",Produto Microbiológico,['Fungicida microbiológico'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_ing_ativo_detalhe_cons?p_id_ingrediente_ativo=835
Trichogramma galloi,Biológico,['Agente Biológico de Controle'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_ing_ativo_detalhe_cons?p_id_ingrediente_ativo=591
Trichogramma pretiosum,Biológico,['Agente Biológico de Controle'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_ing_ativo_detalhe_cons?p_id_ingrediente_ativo=680
Trichospilus diatraeae,Biológico,['Agente Biológico de Controle'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_ing_ativo_detalhe_cons?p_id_ingrediente_ativo=825
triciclazol,benzotiazol,['Fungicida'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_ing_ativo_detalhe_cons?p_id_ingrediente_ativo=261
Triclopir-butotílico,ácido piridiniloxialcanóico,['Herbicida'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_ing_ativo_detalhe_cons?p_id_ingrediente_ativo=260
