nome_cientifico,nome_comum,url_agrofit
Arachis hypogea,['Amendoim'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=2381
Arctium minus,"['bardana', 'carrapicho', 'carrapicho-de-carneiro']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1078
Argemone mexicana,"['cardo-santo', 'figo-do-inferno', 'papoula-de-espinho']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1079
Aristida longiseta,"['barba-de-bode', 'capim-barba-de-bode']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1080
Artemisia verlotorum,"['absinto', 'artemija', 'losna']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1081
Asclepias curassavica,"['erva-de-rato', 'erva-leiteira', 'falsa-erva-de-rato']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1082
Avena fatua,"['aveia-brava', 'aveia-fátua', 'aveia-selvagem']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1083
Avena sativa,['aveia'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1084
Avena strigosa,"['aveia-brasileira', 'aveia-preta', 'aveia-voluntária']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1085
Axonopus compressus,"['capitinga', 'grama-argentina', 'grama-missioneira']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1086
Baccharis coridifolia,"['alecrim', 'alecrim-falso', 'mio-mio']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1087
Baccharis dracunculifolia,"['alecrim-de-vassoura', 'vassoura', 'vassoureira']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1088
Baccharis trimera,"['carqueja', 'carqueja-amarga', 'tiririca-de-bebado']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1089
Banisteriopsis oxyclada,"['cipó-folha-de-prata', 'cipó-prata']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1020
Barnadesia rosea,['espinho-agulha'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1021
Bauhinia corifolia,['Miroró'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=2482
Bauhinia curvula,['Unha-de-cabrito'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1981
Bauhinia Divaricata,['Unha-de-boi'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1821
Bauhinia glabra,[],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=3062
Bauhinia mollis,['Capa-bode'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=2001
Bauhinia ungulata,['Pata-de-vaca'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1961
Bauhinia variegata,['unha-de-vaca'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1022
Bidens alba,"['picão', 'picão-preto', 'picão-preto-branco']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1023
Bidens pilosa,"['fura-capa', 'pico-pico', 'picão']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1024
Bidens subalternans,['picão-preto'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1761
Blainvillea biaristata,"['erva-palha', 'picão', 'picão-grande']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1025
Blainvillea latifolia,"['canela-de-urubú', 'erva-de-urubú', 'erva-palha']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1026
Blainvillea latifolia,[],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=3201
Boerhaavia diffusa,"['amarra-pinto', 'erva-tostão', 'pega-pinto']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1027
Borreria verticillata,[],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=3021
Borrieria latifolia,['Erva-quente'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1861
bowlesia incana,['erva salsa'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=2501
Brachiaria brizantha,"['braquiarão', 'braquiária-brizanta', 'braquiária-do-alto']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1028
Brachiaria decumbens,"['braquiária', 'braquiária-decumbens', 'capim-braquiária']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1029
Brachiaria mutica,"['capim-angola', 'capim-branco', 'capim-de-planta']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1108
Brachiaria plantaginea,"['capim-marmelada', 'capim-papuã', 'capim-são-paulo']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=993
Brachiaria platyphylla,"['capim-marmelada', 'papuã', 'papuã-do-banhado']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=994
Brachiaria ruziziensis,"['Congo grass', 'Congo signal grass', 'Kennedy Ruzi']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1921
Brachiaria subquadripara,"['tanner-grass', 'tenner-grass']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=995
Brassica rapa,"['colza', 'mostarda', 'mostarda-selvagem']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=996
Bromus catharticus,"['aveia-louca', 'cevadilha', 'falsa-cevada']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=997
Bulbostylis capillaris,['alecrim-da-praia'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=998
Calopogonium mucunoides,"['calopogônio', 'falso-oró', 'feijão-sagu']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=999
Calotropis procera,"['algodão-de-seda', 'ciúme', 'flor-de-seda']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1000
Capsella bursa-pastoris,"['bolsa-de-pastor', 'panacéia']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1001
Cardiospermum halicacabum,"['baga-de-chumbo', 'balãozinho', 'coração-da-índia']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1002
Cassia tora,['Fedegoso'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1502
Celtis glycicarpa,['grão-de-galo'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1003
Cenchrus echinatus,"['capim-amoroso', 'capim-carrapicho', 'capim-roseta']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1004
Cenchrus echinatus,[],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=3182
Cenchrus echinatus,[],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=2961
Centella asiatica,"['centela', 'corcel', 'pata-de-mula']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1005
Cerastium glomeratum,['orelha-de-rato'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1006
Cestrum axillare,"['amilão', 'baúna', 'coerana']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1007
Chamaecrista flexuosa,"['dorme-dorme', 'mimosa', 'peninha']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1008
Chamaecrista nictitans,"['falsa-dormideira', 'falsa-sensitiva', 'mata-pasto']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1009
Chamaecrista rotundifolia,"['Erva-de-coração', 'Fedegoso']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=2401
Chamaesyce hirta,"['erva-andorinha', 'erva-de-cobre', 'erva-de-sangue']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1010
Chamaesyce hyssopifolia,"['burra-leiteira', 'erva-andorinha', 'erva-de-santa luzia']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1011
Chamaesyce prostrata,"['beldroega-pequena', 'erva-de-santa-luzia', 'quebra-pedra']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1012
Chaptalia nutans,"['língua-de-vaca', 'língua-de-vaca-miúda', 'paraqueda']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1013
Chenopodium album,"['ançarinha-branca', 'erva-de-são-joão', 'erva-formigueira-branca']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1014
Chenopodium ambrosioides,"['anserina-vermífuga', 'erva-de-santa-maria', 'mastruço']",https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1015
Chloris gayana,['capim-de-rhodes'],https://agrofit.agricultura.gov.br/agrofit_cons/!ap_planta_detalhe_cons?p_id_planta_daninha=1016
