nome
BAIXA EXPOSIÇÃO PARA USO RESTRITO EM ARMADILHAS
I - Produto Extremamente Tóxico
II - Produto Altamente Tóxico
III - Produto Moderadamente Tóxico
IV - Produto Pouco Tóxico
Não Classificado - Produto Não Classificado
NÃO DETERMINADO DEVIDO À NATUREZA DO PRODUTO
V - Produto Improvável de Causar Dano Agudo
