classificacao,nome_cientifico,nome_comum,cultura
Insetos,Agallia albidula,['Cigarrinha'],"[{'nome': 'Tomate', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=3710'}]"
Insetos,Agraulis vanillae vanillae,"['Lagarta-das-folhas', 'Lagarta-do-maracujazeiro']","[{'nome': 'Maracujá', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=3249'}]"
Doença,Agrobacterium tumefaciens,['Galha-da-coroa-e-raiz'],"[{'nome': 'Crisântemo', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4228'}, {'nome': 'Pessego', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4653'}, {'nome': 'Maçã', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4363'}, {'nome': 'Uva', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4632'}, {'nome': 'Chuchu', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4149'}, {'nome': 'Rosa', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4610'}, {'nome': 'Caqui', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4085'}]"
Insetos,Agrotis ipsilon,"['Lagarta-rosca', 'Lagarta Rosca', 'Lagarta - rosca', 'Lagarta rosca', 'lagarta rosca', 'LAgarta Rosca']","[{'nome': 'Melancia', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=3244'}, {'nome': 'Arroz irrigado', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=2573'}, {'nome': 'Pepino', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=3241'}, {'nome': 'Jiló', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=3189'}, {'nome': 'Soja', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=3414'}, {'nome': 'Agrião', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=5328'}, {'nome': 'Rabanete', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=6053'}, {'nome': 'Beterraba', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=2741'}, {'nome': 'Feijão-vagem', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=3090'}, {'nome': 'Cevada', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=2831'}, {'nome': 'Cebola', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=2819'}, {'nome': 'Ervilha', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=3070'}, {'nome': 'Couve-chinesa', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=5339'}, {'nome': 'Melão', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=3219'}, {'nome': 'Grão-de-bico', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=7107'}, {'nome': 'Batata yacon', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=6050'}, {'nome': 'Nabo', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=6083'}, {'nome': 'Centeio', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=7543'}, {'nome': 'Abóbora', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=2423'}, {'nome': 'Sorgo', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=7540'}, {'nome': 'Duboisia', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=7519'}, {'nome': 'Almeirão', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=8385'}, {'nome': 'Cenoura', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=2868'}, {'nome': 'Aveia', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=2647'}, {'nome': 'Couve', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=2990'}, {'nome': 'Amendoim', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=2557'}, {'nome': 'Feijão', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=2984'}, {'nome': 'Arroz', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=2588'}, {'nome': 'Rúcula', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=5343'}, {'nome': 'Milho', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=3390'}, {'nome': 'Tomate', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=3722'}, {'nome': 'Pimentão', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=3648'}, {'nome': 'Gengibre', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=5791'}, {'nome': 'Estévia', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=7365'}, {'nome': 'Acelga', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=5329'}, {'nome': 'Feijão-caupi', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=7266'}, {'nome': 'Algodão', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=2506'}, {'nome': 'Maxixe', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=6075'}, {'nome': 'Alho', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=2538'}, {'nome': 'Batata', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=2679'}, {'nome': 'Brócolis', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=2746'}, {'nome': 'Cravo', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=3111'}, {'nome': 'Berinjela', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=2689'}, {'nome': 'Fumo', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=3353'}, {'nome': 'Trigo', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=3597'}, {'nome': 'Milheto', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=6454'}, {'nome': 'Girassol', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=5704'}, {'nome': 'Crisântemo', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=2920'}, {'nome': 'Pimenta', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=3483'}, {'nome': 'Repolho', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=3329'}, {'nome': 'Quiabo', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=6094'}, {'nome': 'Mandioquinha-salsa', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=6073'}, {'nome': 'Couve-de-bruxelas', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=5332'}, {'nome': 'Triticale', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=7546'}, {'nome': 'Alface', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=2435'}, {'nome': 'Chalota', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=6066'}, {'nome': 'Chicória', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=3069'}, {'nome': 'Espinafre', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=3089'}, {'nome': 'Couve-flor', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=3023'}, {'nome': 'Mamão', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=3182'}, {'nome': 'Abobrinha', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=2420'}, {'nome': 'Chuchu', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=2966'}]"
Insetos,Agrotis subterranea,['Lagarta'],"[{'nome': 'Nabo', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=5881'}]"
Insetos,Alabama argillacea,"['Curuquerê', 'Curuquerê-do-algodoeiro']","[{'nome': 'Todas as culturas', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=6279'}, {'nome': 'Algodão', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=2507'}]"
Doença,Albugo candida,['Ferrugem-branca'],"[{'nome': 'Rabanete', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4508'}, {'nome': 'Mostarda', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4394'}, {'nome': 'Repolho', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4547'}, {'nome': 'Nabo', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4571'}, {'nome': 'Couve-flor', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4216'}, {'nome': 'Couve', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4253'}, {'nome': 'Brócolis', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=3978'}]"
Doença,Albulgo ipomoeae-panduranae,['Ferrugem-branca'],"[{'nome': 'Batata-doce', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=5834'}]"
Insetos,Aleurocanthus woglumi,"['Mosca-negra-dos-citros', 'Mosca-negra', 'Mosca negra do citros']","[{'nome': 'Citros', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4974'}, {'nome': 'Cará', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=8224'}, {'nome': 'Gengibre', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=8236'}, {'nome': 'Todas as culturas', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=8128'}, {'nome': 'Mandioca', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=8241'}]"
Insetos,Aleurodicus cocois,"['Mosca-branca', 'Mosca-branca-do-cajueiro']","[{'nome': 'Caju', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=6489'}]"
Insetos,Aleurothrixus floccosus,"['Mosca-branca-dos-citrus', 'Piolho-farinhento']","[{'nome': 'Citros', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=2894'}]"
Insetos,Allocolaspis brunnea,['Vaquinha'],"[{'nome': 'Quiabo', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=3571'}]"
Insetos,Allonychus braziliensis,['Ácaro'],"[{'nome': 'Manga', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=8082'}]"
Insetos,Alphitobius diaperinus,['Cascudinho'],"[{'nome': 'Farelo de soja - Armazenado', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=7887'}, {'nome': 'Soja', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=7886'}]"
Doença,Alternaria alternata,"['Mancha-de-Alternaria', 'mofo-preto', 'fusariose', 'tombamento', 'Pinta-preta', 'Mancha-de-alternaria', 'Alternaria', 'Mancha de alternaria', 'mancha de alternaria', 'Queima das folhas', 'Mofo preto', 'Mancha de Alternaria', 'Mancha-foliar', 'alternaria', 'Queima-das-folhas']","[{'nome': 'Aveia', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=3924'}, {'nome': 'Algodão', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=3822'}, {'nome': 'Trigo', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4658'}, {'nome': 'Feijão', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4177'}, {'nome': 'Sorgo', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4998'}, {'nome': 'Batata yacon', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=5944'}, {'nome': 'Feijão-vagem', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=7826'}, {'nome': 'Manga', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=7966'}, {'nome': 'Abóbora', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=8162'}, {'nome': 'Carambola', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=7815'}, {'nome': 'Feijão-fava', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=7820'}, {'nome': 'Grão-de-bico', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=8168'}, {'nome': 'Todas as culturas', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=8398'}, {'nome': 'Batata-doce', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=6577'}, {'nome': 'Milho', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=5756'}, {'nome': 'Mamão', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4361'}, {'nome': 'Fumo', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4379'}, {'nome': 'Cevada', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4127'}, {'nome': 'Caqui', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4094'}, {'nome': 'Feijão-mungo', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=7824'}, {'nome': 'Feijões', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=8166'}, {'nome': 'Amendoim', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=7813'}, {'nome': 'Feijão-guandu', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=7822'}, {'nome': 'Crisântemo', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4260'}, {'nome': 'Manjericão', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=8192'}, {'nome': 'Manjerona', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=8193'}, {'nome': 'Batata', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=8375'}, {'nome': 'Maçã', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4389'}, {'nome': 'Kiwi', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=5969'}, {'nome': 'Arroz', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=3882'}, {'nome': 'Maracujá', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4458'}, {'nome': 'Quiabo', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=7967'}, {'nome': 'Azeitona', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=7962'}, {'nome': 'Canola', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=5496'}, {'nome': 'Feijão-caupi', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=7819'}, {'nome': 'Acelga', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=8163'}, {'nome': 'Mandioquinha-salsa', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=7040'}, {'nome': 'Romã', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=5981'}]"
Doença,Alternaria bataticola,"['Queima-das-folhas', 'Queima da folhas']","[{'nome': 'Batata-doce', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=7280'}, {'nome': 'Batata yacon', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=7081'}]"
Doença,Alternaria brassicae,"['Mancha-de-Alternaria', 'Mancha-preta', 'Mancha- Alternaria', 'Mancha-Alternaria', 'Mancha-de-alternaria']","[{'nome': 'Nabo', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4450'}, {'nome': 'Couve-chinesa', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=6182'}, {'nome': 'Canola', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=5497'}, {'nome': 'Agrião', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=7157'}, {'nome': 'Couve-de-bruxelas', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=6175'}, {'nome': 'Mostarda', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=6179'}, {'nome': 'Couve', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4283'}, {'nome': 'Brócolis', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=3963'}, {'nome': 'Chicória', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=7155'}, {'nome': 'Repolho', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4703'}, {'nome': 'Seriguela', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=7291'}, {'nome': 'Couve-flor', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4243'}, {'nome': 'Rabanete', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=6180'}, {'nome': 'Estévia', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=7156'}, {'nome': 'Alface', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=7158'}, {'nome': 'Carinata', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=8501'}, {'nome': 'Almeirão', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=7159'}, {'nome': 'Rúcula', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=7113'}]"
Doença,Alternaria cichorii,['Alternariose'],"[{'nome': 'Chicória', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=5905'}, {'nome': 'Almeirão', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=5899'}]"
Doença,Alternaria citri,"['Mancha-de-Alternaria', 'Podridão-negra']","[{'nome': 'Citros', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4042'}]"
Doença,Alternaria cucumerina,"['Mancha de alternaria', 'Mancha-das-folhas', 'Mancha-de-Alternaria']","[{'nome': 'Caqui', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=7304'}, {'nome': 'Maxixe', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=7310'}, {'nome': 'Carambola', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=7305'}, {'nome': 'Melancia', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4318'}, {'nome': 'Melão', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4543'}, {'nome': 'Pepino', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4570'}, {'nome': 'Chuchu', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=7309'}]"
