classificacao,nome_cientifico,nome_comum,cultura
Insetos,Acromyrmex crassispinus,"['Formiga Quenquém', 'Formiga Quenquém-de-cisco', 'Quem Quem de cisco']","[{'nome': 'Seringueira', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=6903'}, {'nome': 'Araucária', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=6899'}, {'nome': 'Acácia', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=6898'}, {'nome': 'Pinus', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=6901'}, {'nome': 'Acácia negra', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4799'}, {'nome': 'Populus', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=6902'}, {'nome': 'Todas as culturas', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=7871'}, {'nome': 'Paricá', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=6900'}, {'nome': 'Teca', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=6904'}, {'nome': 'Eucalipto', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=6385'}]"
Insetos,Acromyrmex disciger,"['Formiga-carregadeira', 'Quenquém-mirim']","[{'nome': '', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4800'}]"
Insetos,Acromyrmex heyeri,"['Formiga-de-monte-vermelha', 'Formiga-mineira', 'Quem Quem']","[{'nome': '', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4801'}, {'nome': 'Todas as culturas', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=7968'}]"
Insetos,Acromyrmex hispidus fallax,['Formiga-mineira'],"[{'nome': '', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4792'}]"
Insetos,Acromyrmex hispidus formosus,['Formiga-mineira'],"[{'nome': '', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4793'}]"
Insetos,Acromyrmex landolti balzani,"['Formiga-meia-lua', 'Formiga-rapa-rapa']","[{'nome': '', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4794'}]"
Insetos,Acromyrmex landolti fracticornis,"['Formiga-meia-lua', 'Formiga-rapa-rapa']","[{'nome': '', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4795'}]"
Insetos,Acromyrmex landolti landolti,"['Formiga-rapa-rapa', 'Formiga meia-lua']","[{'nome': 'Não Atrelado a Cultura', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=6829'}, {'nome': '', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4810'}]"
Insetos,Acromyrmex laticeps laticeps,"['Formiga-mineira', 'Formiga-mineira-vermelha']","[{'nome': '', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4811'}]"
Insetos,Acromyrmex laticeps nigrosetosus,['Quenquém-campeira'],"[{'nome': '', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4812'}]"
